Type,Name,Attractiveness,budget,Intelligence,Minimum_attractiveness_required
1,B1,9,482,77,10
3,B2,2,168,58,10
2,B3,7,618,9,2
3,B4,4,75,50,8
1,B5,9,498,33,8
3,B6,6,982,93,1
3,B7,7,376,72,8
3,B8,2,142,89,6
3,B9,10,68,21,5
2,B10,1,77,50,4
3,B11,4,642,12,9
3,B12,3,285,14,3
2,B13,8,788,94,7
3,B14,5,582,21,4
3,B15,2,642,43,8
1,B16,1,804,92,3
2,B17,1,698,7,1
2,B18,8,350,27,5
1,B19,5,597,87,4
1,B20,2,170,39,8
3,B21,2,819,24,8
2,B22,1,939,93,1
3,B23,9,24,71,10
1,B24,2,745,19,7
2,B25,1,97,35,10
3,B26,3,759,84,6
2,B27,10,437,13,6
2,B28,2,480,71,2
1,B29,1,605,85,3
1,B30,7,764,2,2
3,B31,6,912,10,2
2,B32,5,913,16,5
2,B33,5,57,38,1
2,B34,10,75,86,2
2,B35,3,634,41,2
1,B36,2,274,2,2
3,B37,6,348,14,7
1,B38,7,394,33,1
1,B39,1,176,18,10
1,B40,6,98,25,10
3,B41,10,245,22,4
1,B42,6,194,17,1
2,B43,9,29,19,10
2,B44,3,937,53,9
1,B45,6,73,23,9
1,B46,9,818,48,1
1,B47,10,490,13,2
2,B48,2,372,60,6
2,B49,10,249,85,7
3,B50,4,675,26,8
2,B51,4,895,61,3
2,B52,8,419,80,5
3,B53,6,267,99,6
1,B54,9,416,53,2
1,B55,3,50,92,4
1,B56,2,321,97,3
3,B57,7,233,18,3
2,B58,8,930,61,6
3,B59,2,340,49,2
1,B60,10,143,22,6
2,B61,1,262,88,1
1,B62,3,581,79,4
2,B63,2,444,39,4
3,B64,4,709,56,2
1,B65,4,845,88,1
3,B66,6,74,67,10
3,B67,5,444,69,6
2,B68,4,431,89,9
2,B69,1,166,72,4
2,B70,2,370,18,10
1,B71,7,408,59,9
1,B72,2,463,42,8
3,B73,10,953,48,8
1,B74,5,123,26,3
2,B75,1,710,30,9
3,B76,7,132,28,5
3,B77,8,227,82,8
3,B78,8,450,61,8
2,B79,2,199,51,1
3,B80,7,991,49,8
2,B81,1,375,27,3
2,B82,9,245,61,9
2,B83,6,84,32,3
3,B84,9,949,74,2
1,B85,9,972,1,9
2,B86,1,915,30,4
3,B87,8,213,80,6
1,B88,4,205,63,10
3,B89,1,516,21,7
2,B90,1,242,67,9
1,B91,4,964,49,5
2,B92,4,184,82,3
3,B93,2,782,4,8
1,B94,7,733,31,5
1,B95,7,767,100,9
3,B96,1,736,69,1
3,B97,2,482,22,5
2,B98,10,95,100,3
3,B99,1,170,41,4
2,B100,2,566,3,2
3,B101,2,227,99,9
1,B102,8,225,97,10
2,B103,5,684,25,6
2,B104,9,28,93,4
3,B105,8,306,84,9
2,B106,4,764,33,4
2,B107,10,969,62,2
1,B108,2,323,71,2
2,B109,5,61,11,7
3,B110,6,290,65,5
2,B111,7,701,87,3
1,B112,3,945,10,8
3,B113,8,120,86,2
1,B114,5,847,10,8
2,B115,3,281,25,6
3,B116,7,11,46,2
2,B117,6,178,25,7
3,B118,1,991,21,6
3,B119,6,446,9,4
2,B120,1,235,68,9
3,B121,7,288,66,9
3,B122,7,52,12,1
2,B123,1,879,71,1
1,B124,10,101,73,9
2,B125,9,224,91,8
2,B126,1,743,37,7
1,B127,3,284,76,3
3,B128,5,508,66,6
1,B129,8,884,68,2
3,B130,7,240,14,4
2,B131,3,578,8,5
2,B132,5,396,12,5
3,B133,7,24,63,4
3,B134,9,515,96,1
2,B135,3,639,39,1
3,B136,8,523,45,4
3,B137,2,902,17,8
2,B138,8,688,21,6
2,B139,10,466,15,5
1,B140,4,352,94,9
2,B141,4,180,77,7
3,B142,10,631,46,4
3,B143,7,447,99,1
1,B144,6,224,48,7
1,B145,6,24,40,7
1,B146,3,822,58,9
2,B147,2,553,35,4
3,B148,6,81,38,10
2,B149,6,658,89,4
2,B150,6,217,81,4
1,B151,9,449,61,2
3,B152,9,885,8,2
2,B153,1,400,64,9
2,B154,8,5,17,7
3,B155,5,875,24,7
3,B156,9,172,29,5
1,B157,7,193,14,8
2,B158,8,927,9,2
3,B159,10,329,10,5
3,B160,6,309,71,9
3,B161,2,368,31,8
2,B162,5,79,89,10
3,B163,7,847,99,1
2,B164,4,979,17,9
3,B165,8,680,44,9
2,B166,2,405,82,4
3,B167,7,758,50,2
3,B168,5,473,95,1
3,B169,1,39,47,2
1,B170,8,749,4,5
1,B171,7,198,29,5
2,B172,7,625,25,3
2,B173,7,684,10,6
2,B174,2,52,31,6
1,B175,10,827,33,1
1,B176,10,142,2,9
3,B177,4,323,4,4
2,B178,1,103,1,9
2,B179,5,752,48,4
2,B180,2,547,11,4
2,B181,1,528,96,9
3,B182,10,916,26,8
1,B183,3,546,38,2
3,B184,2,463,32,8
3,B185,6,40,44,1
2,B186,3,111,81,4
3,B187,5,540,3,7
1,B188,6,328,88,8
1,B189,10,404,77,6
2,B190,4,602,56,3
3,B191,8,488,4,10
1,B192,7,705,73,2
3,B193,9,152,38,7
1,B194,2,890,33,9
1,B195,1,486,38,9
3,B196,1,257,92,1
1,B197,3,800,38,8
1,B198,6,2,87,7
2,B199,10,557,32,1
1,B200,7,889,30,7
3,B201,7,131,59,1
1,B202,3,550,44,9
2,B203,3,520,99,9
1,B204,5,745,32,2
1,B205,8,936,24,2
3,B206,3,430,68,1
1,B207,2,811,12,7
1,B208,10,199,89,2
1,B209,10,557,83,6
1,B210,9,756,27,4
3,B211,4,603,22,5
2,B212,7,718,73,3
1,B213,1,519,62,6
2,B214,2,612,20,5
3,B215,1,996,14,8
3,B216,1,358,80,5
3,B217,8,244,84,1
3,B218,3,199,42,6
2,B219,3,580,45,4
3,B220,3,125,29,5
3,B221,3,989,56,2
2,B222,3,220,97,9
3,B223,3,134,61,2
2,B224,1,210,64,5
3,B225,9,945,93,2
3,B226,5,147,38,5
3,B227,10,594,96,5
1,B228,4,57,34,6
1,B229,6,92,64,8
1,B230,1,431,36,2
3,B231,10,880,18,10
2,B232,7,232,95,2
3,B233,6,4,44,1
2,B234,5,510,38,5
3,B235,3,452,90,3
1,B236,7,732,4,3
3,B237,4,572,89,4
2,B238,9,600,21,3
1,B239,4,52,4,7
1,B240,1,81,12,4
3,B241,8,298,72,8
3,B242,8,986,67,2
2,B243,4,661,13,1
2,B244,4,932,49,6
1,B245,3,12,34,3
1,B246,4,478,64,10
1,B247,1,92,92,4
3,B248,5,926,75,9
3,B249,3,272,96,7
1,B250,3,921,10,5
2,B251,7,633,89,4
1,B252,10,423,32,7
3,B253,7,138,47,9
2,B254,9,663,24,5
3,B255,3,551,22,7
1,B256,8,4,31,4
2,B257,4,319,97,4
3,B258,4,303,75,2
1,B259,2,911,42,10
1,B260,1,991,80,1
2,B261,5,550,80,1
1,B262,8,518,35,10
1,B263,5,259,29,7
1,B264,3,570,86,8
3,B265,2,576,59,7
1,B266,7,795,89,1
2,B267,5,566,41,5
1,B268,4,159,23,3
2,B269,3,573,95,9
3,B270,6,446,23,3
3,B271,6,377,90,5
3,B272,6,478,37,9
2,B273,2,990,100,6
3,B274,7,749,35,9
1,B275,10,898,11,2
1,B276,3,699,69,6
1,B277,5,226,46,1
2,B278,9,365,25,8
1,B279,1,470,13,4
3,B280,9,971,74,8
3,B281,2,560,90,3
1,B282,10,889,66,2
3,B283,8,214,1,6
3,B284,2,915,36,3
3,B285,3,876,66,6
1,B286,10,418,65,8
2,B287,5,726,21,1
3,B288,1,565,59,3
1,B289,4,534,1,3
3,B290,4,994,45,1
2,B291,10,217,76,4
1,B292,3,936,92,4
3,B293,6,69,20,5
1,B294,9,574,59,2
3,B295,3,217,88,4
2,B296,9,2,26,3
3,B297,6,473,19,2
2,B298,3,239,39,2
3,B299,6,635,69,8
3,B300,4,876,50,3
2,B301,7,926,47,5
3,B302,4,717,85,2
2,B303,3,752,68,1
2,B304,1,690,32,2
3,B305,6,373,18,4
1,B306,3,473,49,2
3,B307,4,30,65,5
2,B308,8,510,95,2
1,B309,5,710,48,5
3,B310,3,430,55,5
3,B311,7,742,95,4
1,B312,7,736,32,7
2,B313,9,352,25,8
3,B314,1,666,54,2
2,B315,6,695,91,4
2,B316,7,731,35,1
2,B317,3,250,40,7
1,B318,6,6,97,10
3,B319,3,225,8,6
2,B320,10,983,79,3
3,B321,5,786,2,6
2,B322,3,784,100,8
2,B323,3,573,5,2
3,B324,3,174,15,2
3,B325,4,715,77,2
2,B326,6,369,5,7
3,B327,10,455,43,8
1,B328,2,397,23,8
3,B329,4,789,44,10
2,B330,6,383,78,4
2,B331,1,270,70,4
3,B332,2,425,34,10
1,B333,6,948,69,2
1,B334,1,377,79,4
3,B335,10,915,28,3
3,B336,6,419,70,7
2,B337,9,852,34,9
3,B338,3,802,6,10
2,B339,9,470,78,8
2,B340,10,49,13,9
2,B341,7,507,45,3
1,B342,6,396,67,4
2,B343,1,455,32,2
3,B344,1,674,2,8
3,B345,8,853,30,10
3,B346,7,834,42,9
3,B347,2,833,67,9
1,B348,4,237,44,8
3,B349,4,469,71,2
2,B350,3,657,11,4
3,B351,3,2,65,10
3,B352,3,446,12,10
2,B353,3,440,11,9
1,B354,4,140,24,3
3,B355,2,205,62,5
2,B356,5,351,42,5
2,B357,7,380,64,5
1,B358,1,971,43,2
3,B359,10,329,22,10
1,B360,3,335,62,1
2,B361,10,374,71,10
3,B362,10,263,19,9
3,B363,3,915,55,5
1,B364,6,849,49,9
3,B365,4,603,25,1
1,B366,5,444,90,2
1,B367,3,615,5,7
1,B368,10,91,91,8
2,B369,7,853,37,8
3,B370,9,628,21,2
3,B371,10,205,44,3
1,B372,9,304,33,6
2,B373,4,862,33,3
3,B374,4,299,88,6
1,B375,1,671,6,5
1,B376,6,668,91,10
2,B377,10,889,47,2
3,B378,7,20,93,5
1,B379,10,967,75,6
2,B380,8,140,19,7
1,B381,3,276,93,8
2,B382,5,71,71,3
1,B383,7,78,62,3
3,B384,10,168,81,8
1,B385,8,682,57,1
3,B386,9,372,36,7
3,B387,4,184,54,8
3,B388,4,269,3,3
1,B389,5,214,7,5
3,B390,8,136,84,1
3,B391,7,395,77,8
3,B392,10,899,87,4
2,B393,1,914,23,4
3,B394,6,788,62,4
1,B395,10,647,9,8
2,B396,10,264,4,9
1,B397,3,182,63,2
2,B398,8,204,5,9
