Type,Price,Value
Essential,195,378
Essential,182,384
Essential,54,172
Essential,160,423
Essential,9,144
Essential,206,662
Essential,18,712
Essential,154,448
Essential,234,653
Essential,234,910
Essential,202,82
Essential,170,13
Essential,95,207
Essential,82,815
Essential,166,906
Essential,85,39
Essential,150,855
Essential,152,270
Essential,27,504
Essential,177,466
Essential,135,512
Essential,248,910
Essential,190,546
Essential,94,285
Essential,22,111
Essential,171,376
Essential,206,427
Essential,84,135
Essential,43,425
Essential,223,628
Essential,179,973
Essential,98,427
Essential,141,119
Essential,164,70
Essential,109,632
Essential,226,908
Essential,228,996
Essential,234,49
Essential,239,480
Essential,153,217
Essential,158,677
Essential,110,870
Essential,81,978
Essential,17,138
Essential,110,592
Essential,243,62
Essential,34,758
Essential,228,136
Essential,19,805
Essential,133,171
Essential,46,526
Essential,89,200
Essential,237,240
Essential,233,979
Essential,223,549
Essential,217,1000
Essential,32,252
Essential,175,884
Essential,48,305
Essential,196,153
Essential,5,920
Essential,63,793
Essential,137,745
Essential,165,35
Essential,225,830
Essential,47,42
Essential,210,536
Essential,47,27
Essential,99,478
Essential,202,343
Essential,187,863
Essential,56,327
Essential,82,879
Essential,64,318
Essential,116,470
Essential,104,960
Essential,113,670
Essential,233,320
Essential,97,219
Essential,112,454
Essential,191,325
Essential,78,696
Essential,83,608
Essential,85,463
Essential,144,85
Essential,173,355
Essential,241,769
Essential,193,721
Essential,205,427
Essential,129,400
Essential,151,147
Essential,209,659
Essential,132,102
Essential,221,608
Essential,225,942
Essential,162,327
Essential,15,350
Essential,69,911
Essential,90,484
Essential,164,802



Type,Price,Value,Luxury_rating,Difficulty_to_obtain
Luxury,191,271,398,1
Luxury,233,855,712,10
Luxury,47,715,296,3
Luxury,249,454,656,8
Luxury,247,91,607,7
Luxury,162,696,674,6
Luxury,178,7,625,1
Luxury,229,310,415,10
Luxury,38,240,837,7
Luxury,116,957,620,10
Luxury,54,604,964,2
Luxury,108,49,886,4
Luxury,165,514,435,5
Luxury,122,675,687,9
Luxury,14,601,494,10
Luxury,41,988,177,5
Luxury,62,629,700,9
Luxury,134,223,735,4
Luxury,188,642,295,7
Luxury,172,474,24,8
Luxury,86,774,490,5
Luxury,157,748,318,2
Luxury,59,531,51,8
Luxury,188,360,752,1
Luxury,202,210,944,3
Luxury,247,777,22,9
Luxury,214,800,427,6
Luxury,182,467,643,7
Luxury,229,508,80,8
Luxury,115,152,233,6
Luxury,113,734,164,10
Luxury,116,656,75,9
Luxury,124,290,365,10
Luxury,125,327,628,1
Luxury,213,642,374,10
Luxury,21,226,706,2
Luxury,221,895,529,6
Luxury,236,113,199,6
Luxury,56,569,316,6
Luxury,20,775,684,3
Luxury,121,337,839,4
Luxury,15,133,797,3
Luxury,198,61,946,6
Luxury,37,826,466,7
Luxury,113,628,353,1
Luxury,109,325,913,2
Luxury,138,437,817,4
Luxury,52,712,359,8
Luxury,122,748,178,7
Luxury,191,327,326,4
Luxury,211,261,932,2
Luxury,68,862,701,6
Luxury,5,246,612,7
Luxury,222,159,717,6
Luxury,31,953,110,9
Luxury,80,297,968,7
Luxury,44,319,313,5
Luxury,93,185,682,4
Luxury,83,957,880,6
Luxury,216,332,978,3
Luxury,230,778,21,5
Luxury,117,802,239,3
Luxury,189,207,70,6
Luxury,236,653,876,8
Luxury,85,45,562,3
Luxury,122,287,334,9
Luxury,109,10,74,10
Luxury,51,79,610,3
Luxury,71,44,186,8
Luxury,119,956,146,8
Luxury,26,755,759,9
Luxury,122,215,158,2
Luxury,104,555,456,4
Luxury,226,205,93,4
Luxury,156,439,454,9
Luxury,248,707,579,7
Luxury,84,431,478,2
Luxury,104,856,66,6
Luxury,68,530,155,8
Luxury,203,53,379,9
Luxury,228,756,358,10
Luxury,59,911,539,2
Luxury,60,817,96,2
Luxury,205,188,97,2
Luxury,30,55,556,1
Luxury,187,393,92,3
Luxury,247,816,351,9
Luxury,38,514,582,9
Luxury,113,5,354,10
Luxury,80,474,349,9
Luxury,73,451,396,1
Luxury,3,285,303,2
Luxury,40,265,17,8
Luxury,190,917,803,7
Luxury,225,984,376,7
Luxury,131,938,436,8
Luxury,218,361,158,10
Luxury,93,712,591,4
Luxury,11,18,869,2
Luxury,92,380,433,9



Type,Price,Value,Utility_value,Utility_class
Utility,140,233,89,9
Utility,29,479,339,3
Utility,184,110,176,5
Utility,212,753,944,10
Utility,150,549,415,6
Utility,174,550,91,9
Utility,76,617,841,6
Utility,18,164,764,1
Utility,121,314,217,6
Utility,65,115,177,10
Utility,220,591,828,3
Utility,11,819,310,3
Utility,207,708,905,1
Utility,112,329,423,9
Utility,130,925,266,7
Utility,217,681,323,10
Utility,64,424,875,10
Utility,2,628,304,2
Utility,248,751,663,4
Utility,42,268,427,6
Utility,186,315,248,2
Utility,79,51,143,1
Utility,171,137,686,9
Utility,79,479,138,2
Utility,155,17,684,10
Utility,130,240,917,10
Utility,100,41,271,6
Utility,222,240,402,2
Utility,20,909,408,7
Utility,37,113,814,9
Utility,194,642,959,3
Utility,243,978,678,8
Utility,211,478,751,10
Utility,59,146,995,2
Utility,190,178,7,1
Utility,87,115,768,9
Utility,48,679,453,10
Utility,160,744,232,6
Utility,37,428,778,2
Utility,30,782,754,2
Utility,143,485,666,2
Utility,135,406,103,6
Utility,177,629,83,6
Utility,215,585,192,4
Utility,74,629,114,2
Utility,249,34,434,10
Utility,86,514,723,6
Utility,66,559,619,7
Utility,232,370,608,7
Utility,97,632,532,2
Utility,150,687,574,9
Utility,33,686,590,4
Utility,64,362,85,5
Utility,248,797,847,5
Utility,214,8,94,5
Utility,125,681,540,8
Utility,42,496,572,2
Utility,136,892,262,2
Utility,184,891,950,1
Utility,173,854,615,6
Utility,228,746,97,1
Utility,33,435,283,8
Utility,218,707,119,10
Utility,167,209,314,5
Utility,232,596,420,1
Utility,78,286,98,2
Utility,249,686,757,4
Utility,186,645,246,7
Utility,51,546,513,5
Utility,69,106,779,10
Utility,189,967,50,2
Utility,54,153,680,7
Utility,91,226,458,4
Utility,117,330,547,4
Utility,178,75,296,4
Utility,224,943,536,8
Utility,83,582,58,8
Utility,202,652,163,1
Utility,42,599,154,3
Utility,155,326,970,5
Utility,183,420,780,2
Utility,233,252,525,8
Utility,228,215,803,6
Utility,161,961,32,10
Utility,96,209,761,4
Utility,181,15,638,10
Utility,71,264,557,3
Utility,227,412,589,9
Utility,179,65,372,5
Utility,164,616,469,2
Utility,17,653,154,4
Utility,59,245,186,7
Utility,157,680,736,3
Utility,152,413,928,2
Utility,12,421,197,9
Utility,42,143,388,1
Utility,13,35,871,7
Utility,237,338,719,5
Utility,146,914,489,3
Utility,88,312,851,5



